Data;AnoMes;Ano;Mes;Nome_Mes;Base_dias_uteis
01/11/2007;200711;2007;11;November;21
01/12/2007;200712;2007;12;December;21
01/01/2008;200801;2008;1;January;21
01/02/2008;200802;2008;2;February;21
01/03/2008;200803;2008;3;March;21
01/04/2008;200804;2008;4;April;21
01/05/2008;200805;2008;5;May;21
01/06/2008;200806;2008;6;June;21
01/07/2008;200807;2008;7;July;21
01/08/2008;200808;2008;8;August;21
01/09/2008;200809;2008;9;September;21
01/10/2008;200810;2008;10;October;21
01/11/2008;200811;2008;11;November;21
01/12/2008;200812;2008;12;December;21
01/01/2009;200901;2009;1;January;21
01/02/2009;200902;2009;2;February;21
01/03/2009;200903;2009;3;March;21
01/04/2009;200904;2009;4;April;21
01/05/2009;200905;2009;5;May;21
01/06/2009;200906;2009;6;June;21
01/07/2009;200907;2009;7;July;21
01/08/2009;200908;2009;8;August;21
01/09/2009;200909;2009;9;September;21
01/10/2009;200910;2009;10;October;21
01/11/2009;200911;2009;11;November;21
01/12/2009;200912;2009;12;December;21
01/01/2010;201001;2010;1;January;21
01/02/2010;201002;2010;2;February;21
01/03/2010;201003;2010;3;March;21
01/04/2010;201004;2010;4;April;21
01/05/2010;201005;2010;5;May;21
01/06/2010;201006;2010;6;June;21
01/07/2010;201007;2010;7;July;21
01/08/2010;201008;2010;8;August;21
01/09/2010;201009;2010;9;September;21
01/10/2010;201010;2010;10;October;21
01/11/2010;201011;2010;11;November;21
01/12/2010;201012;2010;12;December;21
01/01/2011;201101;2011;1;January;21
01/02/2011;201102;2011;2;February;21
01/03/2011;201103;2011;3;March;21
01/04/2011;201104;2011;4;April;21
01/05/2011;201105;2011;5;May;21
01/06/2011;201106;2011;6;June;21
01/07/2011;201107;2011;7;July;21
01/08/2011;201108;2011;8;August;21
01/09/2011;201109;2011;9;September;21
01/10/2011;201110;2011;10;October;21
01/11/2011;201111;2011;11;November;21
01/12/2011;201112;2011;12;December;21
01/01/2012;201201;2012;1;January;21
01/02/2012;201202;2012;2;February;21
01/03/2012;201203;2012;3;March;21
01/04/2012;201204;2012;4;April;21
01/05/2012;201205;2012;5;May;21
01/06/2012;201206;2012;6;June;21
01/07/2012;201207;2012;7;July;21
01/08/2012;201208;2012;8;August;21
01/09/2012;201209;2012;9;September;21
01/10/2012;201210;2012;10;October;21
01/11/2012;201211;2012;11;November;21
01/12/2012;201212;2012;12;December;21
01/01/2013;201301;2013;1;January;21
01/02/2013;201302;2013;2;February;21
01/03/2013;201303;2013;3;March;21
01/04/2013;201304;2013;4;April;21
01/05/2013;201305;2013;5;May;21
01/06/2013;201306;2013;6;June;21
01/07/2013;201307;2013;7;July;21
01/08/2013;201308;2013;8;August;21
01/09/2013;201309;2013;9;September;21
01/10/2013;201310;2013;10;October;21
01/11/2013;201311;2013;11;November;21
01/12/2013;201312;2013;12;December;21
01/01/2014;201401;2014;1;January;21
01/02/2014;201402;2014;2;February;21
01/03/2014;201403;2014;3;March;21
01/04/2014;201404;2014;4;April;21
01/05/2014;201405;2014;5;May;21
01/06/2014;201406;2014;6;June;21
01/07/2014;201407;2014;7;July;21
01/08/2014;201408;2014;8;August;21
01/09/2014;201409;2014;9;September;21
01/10/2014;201410;2014;10;October;21
01/11/2014;201411;2014;11;November;21
01/12/2014;201412;2014;12;December;21
01/01/2015;201501;2015;1;January;21
01/02/2015;201502;2015;2;February;21
01/03/2015;201503;2015;3;March;21
01/04/2015;201504;2015;4;April;21
01/05/2015;201505;2015;5;May;21
01/06/2015;201506;2015;6;June;21
01/07/2015;201507;2015;7;July;21
01/08/2015;201508;2015;8;August;21
01/09/2015;201509;2015;9;September;21
01/10/2015;201510;2015;10;October;21
01/11/2015;201511;2015;11;November;21
01/12/2015;201512;2015;12;December;21
01/01/2016;201601;2016;1;January;21
01/02/2016;201602;2016;2;February;21
01/03/2016;201603;2016;3;March;21
01/04/2016;201604;2016;4;April;21
01/05/2016;201605;2016;5;May;21
01/06/2016;201606;2016;6;June;21
01/07/2016;201607;2016;7;July;21
01/08/2016;201608;2016;8;August;21
01/09/2016;201609;2016;9;September;21
01/10/2016;201610;2016;10;October;21
01/11/2016;201611;2016;11;November;21
01/12/2016;201612;2016;12;December;21
01/01/2017;201701;2017;1;January;21
01/02/2017;201702;2017;2;February;21
01/03/2017;201703;2017;3;March;21
01/04/2017;201704;2017;4;April;21
01/05/2017;201705;2017;5;May;21
01/06/2017;201706;2017;6;June;21
01/07/2017;201707;2017;7;July;21
01/08/2017;201708;2017;8;August;21
01/09/2017;201709;2017;9;September;21
01/10/2017;201710;2017;10;October;21
01/11/2017;201711;2017;11;November;21
01/12/2017;201712;2017;12;December;21
01/01/2018;201801;2018;1;January;21
01/02/2018;201802;2018;2;February;21
01/03/2018;201803;2018;3;March;21
01/04/2018;201804;2018;4;April;21
01/05/2018;201805;2018;5;May;21
01/06/2018;201806;2018;6;June;21
01/07/2018;201807;2018;7;July;21
01/08/2018;201808;2018;8;August;21
01/09/2018;201809;2018;9;September;21
01/10/2018;201810;2018;10;October;21
01/11/2018;201811;2018;11;November;21
01/12/2018;201812;2018;12;December;21
01/01/2019;201901;2019;1;January;21
01/02/2019;201902;2019;2;February;21
01/03/2019;201903;2019;3;March;21
01/04/2019;201904;2019;4;April;21
01/05/2019;201905;2019;5;May;21
01/06/2019;201906;2019;6;June;21
01/07/2019;201907;2019;7;July;21
01/08/2019;201908;2019;8;August;21
01/09/2019;201909;2019;9;September;21
01/10/2019;201910;2019;10;October;21
01/11/2019;201911;2019;11;November;21
01/12/2019;201912;2019;12;December;21
01/01/2020;202001;2020;1;January;21
01/02/2020;202002;2020;2;February;21
01/03/2020;202003;2020;3;March;21
01/04/2020;202004;2020;4;April;21
01/05/2020;202005;2020;5;May;21
01/06/2020;202006;2020;6;June;21
01/07/2020;202007;2020;7;July;21
01/08/2020;202008;2020;8;August;21
01/09/2020;202009;2020;9;September;21
